"Month","Predicted KWH"
"2014 Jan",10655.73
"2014 Feb",7681.798
"2014 Mar",6517.514
"2014 Apr",6105.359
"2014 May",5940.475
"2014 Jun",7920.627
"2014 Jul",8415.321
"2014 Aug",9080.226
"2014 Sep",7968.22
"2014 Oct",5759.367
"2014 Nov",5769.083
"2014 Dec",9606.304
